sampling_date,sampling_time,sampling_date_time,tank,sample,CO2_treatment,temperature,salinity,processing_date,alk_25degC,alk_insitu_temp,mean,std_dev,std_dev_x2,cv,percent,min,max,range
7/2/2020,16:39,7/2/2020 16:39,102,1,elevated,18.31,26.41,6/9/2021,2321.283834,2337.411631,2334.312258,4.958295877,9.916591754,0.002124093,0.21%,2328.593625,2337.411631,8.818006474
7/2/2020,16:41,7/2/2020 16:41,102,2,elevated,18.31,26.41,6/9/2021,2320.255002,2336.931517,,,,,,,,
7/2/2020,16:42,7/2/2020 16:42,102,3,elevated,18.31,26.42,6/9/2021,2312.120203,2328.593625,,,,,,,,
7/2/2020,16:50,7/2/2020 16:50,103,1,elevated,17.44,26.86,4/20/2021,2299.064147,2314.92022,2316.872209,7.947665152,15.8953303,0.003430342,0.34%,2310.082401,2325.614006,15.53160451
7/2/2020,16:52,7/2/2020 16:52,103,2,elevated,17.49,26.87,4/20/2021,2306.152127,2325.614006,,,,,,,,
7/2/2020,16:53,7/2/2020 16:53,103,3,elevated,17.5,26.87,4/20/2021,2284.045217,2310.082401,,,,,,,,
7/2/2020,12:45,7/2/2020 12:45,44,1,elevated,17.31,27.19,4/28/2021,2275.850562,2294.52235,2284.016619,14.85734682,29.71469363,0.006504921,0.65%,2273.510888,2294.52235,21.01146137
7/2/2020,12:47,7/2/2020 12:47,44,2,elevated,17.31,27.21,4/28/2021,2242.896216,2273.510888,,,,,,,,
7/2/2020,12:49,7/2/2020 12:49,44,3,elevated,17.29,27.23,,,,,,,,,,,
7/2/2020,13:01,7/2/2020 13:01,3,1,elevated,16.23,27.16,4/28/2021,2288.153615,2309.051271,2311.373319,3.283871925,6.56774385,0.001420745,0.14%,2309.051271,2313.695367,4.644096213
7/2/2020,13:03,7/2/2020 13:03,3,2,elevated,16.25,27.16,4/28/2021,2292.47821,2313.695367,,,,,,,,
7/2/2020,13:04,7/2/2020 13:04,3,3,elevated,16.25,27.15,,,,,,,,,,,
7/2/2020,13:19,7/2/2020 13:19,4,1,ambient,16.62,27.02,4/28/2021,2285.848445,2306.747241,2303.562571,4.503802253,9.007604506,0.001955146,0.20%,2300.377902,2306.747241,6.369338228
7/2/2020,13:20,7/2/2020 13:20,4,2,ambient,16.62,27.01,4/28/2021,2280.645771,2300.377902,,,,,,,,
7/2/2020,13:21,7/2/2020 13:21,4,3,ambient,16.66,26.99,,,,,,,,,,,
7/2/2020,13:31,7/2/2020 13:31,6,1,ambient,16.77,26.89,6/9/2021,2294.326906,2313.306247,2315.123379,3.452700086,6.905400172,0.001491368,0.15%,2312.958729,2319.105162,6.146433102
7/2/2020,13:33,7/2/2020 13:33,6,2,ambient,16.81,26.87,6/9/2021,2300.302302,2319.105162,,,,,,,,
7/2/2020,13:34,7/2/2020 13:34,6,3,ambient,16.81,26.87,6/9/2021,2292.311615,2312.958729,,,,,,,,
7/5/2020,12:11,7/5/2020 12:11,42,1,ambient,17.19,26.77,,,,,,,,,,,
7/5/2020,12:12,7/5/2020 12:12,42,2,ambient,17.19,26.77,,,,,,,,,,,
7/5/2020,12:13,7/5/2020 12:13,42,3,ambient,17.19,26.75,,,,,,,,,,,
7/5/2020,12:21,7/5/2020 12:21,24,1,elevated,15.88,27.39,,,,,,,,,,,
7/5/2020,12:22,7/5/2020 12:22,24,2,elevated,15.88,27.39,,,,,,,,,,,
7/5/2020,12:23,7/5/2020 12:23,24,3,elevated,15.88,27.39,,,,,,,,,,,
7/5/2020,12:31,7/5/2020 12:31,22,1,ambient,15.81,27.39,,,,,,,,,,,
7/5/2020,12:32,7/5/2020 12:32,22,2,ambient,15.81,27.39,,,,,,,,,,,
7/5/2020,12:33,7/5/2020 12:33,22,3,ambient,15.81,27.39,,,,,,,,,,,
7/5/2020,12:40,7/5/2020 12:40,16,1,elevated,17,26.63,,,,,,,,,,,
7/5/2020,12:41,7/5/2020 12:41,16,2,elevated,17,26.62,,,,,,,,,,,
7/5/2020,12:43,7/5/2020 12:43,16,3,elevated,17,26.61,,,,,,,,,,,
7/8/2020,12:48,7/8/2020 12:48,12,1,ambient,16.81,27.24,5/12/2021,2238.043018,2259.187202,2261.209937,2.860579708,5.721159415,0.001265066,0.13%,2259.187202,2263.232673,4.045470619
7/8/2020,12:49,7/8/2020 12:49,12,2,ambient,16.81,27.23,5/12/2021,2242.358023,2263.232673,,,,,,,,
7/8/2020,12:50,7/8/2020 12:50,12,3,ambient,16.81,27.23,,,,,,,,,,,
7/8/2020,13:04,7/8/2020 13:04,6,1,ambient,18.5,25.14,5/12/2021,2240.126858,2257.018439,2256.75365,0.374468573,0.748937146,0.000165932,0.02%,2256.48886,2257.018439,0.529578535
7/8/2020,13:05,7/8/2020 13:05,6,2,ambient,18.5,25.13,5/12/2021,2241.232863,2256.48886,,,,,,,,
7/8/2020,13:06,7/8/2020 13:06,6,3,ambient,18.48,25.12,,,,,,,,,,,
7/8/2020,12:56,7/8/2020 12:56,20,1,elevated,18.56,25.21,5/12/2021,2233.740517,2250.919108,2252.675597,2.484050854,4.968101708,0.001102711,0.11%,2250.919108,2254.432086,3.512978408
7/8/2020,12:57,7/8/2020 12:57,20,2,elevated,18.56,25.2,5/12/2021,2237.420748,2254.432086,,,,,,,,
7/8/2020,12:58,7/8/2020 12:58,20,3,elevated,18.55,25.2,,,,,,,,,,,
7/8/2020,13:11,7/8/2020 13:11,21,1,elevated,18.36,25.12,6/9/2021,2282.546083,2307.060036,2306.901387,1.192201702,2.384403404,0.000516798,0.05%,2305.637804,2308.006321,2.368516695
7/8/2020,13:12,7/8/2020 13:12,21,2,elevated,18.31,25.16,6/9/2021,2281.128614,2305.637804,,,,,,,,
7/8/2020,13:13,7/8/2020 13:13,21,3,elevated,18.29,25.2,6/9/2021,2284.777886,2308.006321,,,,,,,,
7/11/2020,10:50,7/11/2020 10:50,37,1,ambient,16.06,26.87,,,,,,,,,,,
7/11/2020,10:51,7/11/2020 10:51,37,2,ambient,16.09,26.86,,,,,,,,,,,
7/11/2020,10:53,7/11/2020 10:53,37,3,ambient,16.12,26.84,,,,,,,,,,,
7/11/2020,10:59,7/11/2020 10:59,14,1,elevated,15.11,28.14,,,,,,,,,,,
7/11/2020,11:00,7/11/2020 11:00,14,2,elevated,15.1,28.14,,,,,,,,,,,
7/11/2020,11:01,7/11/2020 11:01,14,3,elevated,15.09,28.14,,,,,,,,,,,
7/11/2020,11:07,7/11/2020 11:07,23,1,ambient,16.3,26.75,,,,,,,,,,,
7/11/2020,11:08,7/11/2020 11:08,23,2,ambient,16.28,26.74,,,,,,,,,,,
7/11/2020,11:09,7/11/2020 11:09,23,3,ambient,16.31,26.74,,,,,,,,,,,
7/11/2020,11:13,7/11/2020 11:13,31,1,elevated,15.09,28.14,,,,,,,,,,,
7/11/2020,11:15,7/11/2020 11:15,31,2,elevated,15.11,28.14,,,,,,,,,,,
7/11/2020,11:16,7/11/2020 11:16,31,3,elevated,15.12,28.14,,,,,,,,,,,
7/14/2020,10:39,7/14/2020 10:39,8,1,ambient,15.22,27.06,6/9/2021,2299.590851,2322.747095,2323.588429,1.313532875,2.62706575,0.000565304,0.06%,2322.747095,2325.102021,2.354926695
7/14/2020,10:40,7/14/2020 10:40,8,2,ambient,15.25,27.06,6/9/2021,2300.803325,2325.102021,,,,,,,,
7/14/2020,10:41,7/14/2020 10:41,8,3,ambient,15.24,27.06,6/9/2021,2299.096536,2322.91617,,,,,,,,
7/14/2020,10:46,7/14/2020 10:46,14,1,elevated,15.71,28.27,5/19/2021,2284.063579,2307.520055,2305.242765,3.220574235,6.441148471,0.001397065,0.14%,2302.965475,2307.520055,4.554579762
7/14/2020,10:47,7/14/2020 10:47,14,2,elevated,15.72,28.26,5/19/2021,2280.978364,2302.965475,,,,,,,,
7/14/2020,10:48,7/14/2020 10:48,14,3,elevated,15.71,28.27,,,,,,,,,,,
7/14/2020,10:53,7/14/2020 10:53,38,1,ambient,15.26,27.06,5/19/2021,2271.186601,2295.185796,2294.323723,1.219155808,2.438311616,0.000531379,0.05%,2293.46165,2295.185796,1.724146678
7/14/2020,10:54,7/14/2020 10:54,38,2,ambient,15.28,27.06,5/19/2021,2270.259872,2293.46165,,,,,,,,
7/14/2020,10:55,7/14/2020 10:55,38,3,ambient,15.27,27.05,,,,,,,,,,,
7/14/2020,11:00,7/14/2020 11:00,21,1,elevated,15.25,27.05,5/19/2021,2230.362855,2246.459726,2247.748438,1.822513339,3.645026677,0.000810817,0.08%,2246.459726,2249.037149,2.577423081
7/14/2020,11:01,7/14/2020 11:01,21,2,elevated,15.26,27.04,5/19/2021,2233.728403,2249.037149,,,,,,,,
7/14/2020,11:02,7/14/2020 11:02,21,3,elevated,15.26,27.04,,,,,,,,,,,
7/17/2020,10:42,7/17/2020 10:42,37,1,ambient,15.63,27.11,,,,,,,,,,,
7/17/2020,10:44,7/17/2020 10:44,37,2,ambient,15.63,27.12,,,,,,,,,,,
7/17/2020,10:45,7/17/2020 10:45,37,3,ambient,15.63,27.09,,,,,,,,,,,
7/17/2020,10:53,7/17/2020 10:53,11,1,elevated,15.56,27.14,,,,,,,,,,,
7/17/2020,10:54,7/17/2020 10:54,11,2,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,10:55,7/17/2020 10:55,11,3,elevated,15.56,27.16,,,,,,,,,,,
7/17/2020,11:01,7/17/2020 11:01,22,1,ambient,15.63,27.18,,,,,,,,,,,
7/17/2020,11:02,7/17/2020 11:02,22,2,ambient,15.63,27.17,,,,,,,,,,,
7/17/2020,11:03,7/17/2020 11:03,22,3,ambient,15.63,27.18,,,,,,,,,,,
7/17/2020,11:09,7/17/2020 11:09,29,1,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,11:10,7/17/2020 11:10,29,2,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,11:12,7/17/2020 11:12,29,3,elevated,15.56,27.15,,,,,,,,,,,
7/19/2020,11:22,7/19/2020 11:22,102,1,elevated,15.94,27.33,4/20/2021,2289.479795,2313.355173,2315.998255,3.737883112,7.475766224,0.00161394,0.16%,2313.355173,2318.641338,5.286164992
7/19/2020,11:23,7/19/2020 11:23,102,2,elevated,15.94,27.32,4/20/2021,2295.857145,2318.641338,,,,,,,,
7/19/2020,11:24,7/19/2020 11:24,102,3,elevated,15.94,27.33,,,,,,,,,,,
7/19/2020,11:35,7/19/2020 11:35,103,1,elevated,15.94,27.3,4/28/2021,2293.847989,2317.369967,2319.391036,2.858223034,5.716446068,0.001232316,0.12%,2317.369967,2321.412104,4.042137779
7/19/2020,11:36,7/19/2020 11:36,103,2,elevated,15.94,27.3,4/28/2021,2299.664582,2321.412104,,,,,,,,
7/19/2020,11:37,7/19/2020 11:37,103,3,elevated,15.94,27.3,,,,,,,,,,,
7/19/2020,10:39,7/19/2020 10:39,27,1,ambient,16.06,27.35,5/5/2021,2309.869478,2334.017238,2307.697758,37.22136561,74.44273121,0.01612922,1.61%,2281.378278,2334.017238,52.63896005
7/19/2020,10:40,7/19/2020 10:40,27,2,ambient,16.06,27.35,5/5/2021,2259.167355,2281.378278,,,,,,,,
7/19/2020,10:42,7/19/2020 10:42,27,3,ambient,16.06,27.37,,,,,,,,,,,
7/19/2020,10:49,7/19/2020 10:49,10,1,ambient,16.06,27.37,5/5/2021,2268.69148,2291.045915,2289.500498,2.185549579,4.371099157,0.000954597,0.10%,2287.955081,2291.045915,3.090833855
7/19/2020,10:50,7/19/2020 10:50,10,2,ambient,16.06,27.37,5/5/2021,2265.826467,2287.955081,,,,,,,,
7/19/2020,10:51,7/19/2020 10:51,10,3,ambient,16.06,27.37,,,,,,,,,,,
7/19/2020,10:59,7/19/2020 10:59,36,1,elevated,16,27.34,5/5/2021,2260.526992,2282.836633,2282.924368,0.124075303,0.248150605,5.43E-05,0.01%,2282.836633,2283.012102,0.175468976
7/19/2020,11:00,7/19/2020 11:00,36,2,elevated,16,27.34,5/5/2021,2261.122203,2283.012102,,,,,,,,
7/19/2020,11:01,7/19/2020 11:01,36,3,elevated,16,27.35,,,,,,,,,,,
7/19/2020,11:07,7/19/2020 11:07,16,1,elevated,16,27.34,6/9/2021,2269.271641,2292.550879,2291.713636,1.184039707,2.368079413,0.000516661,0.05%,2290.876394,2292.550879,1.674485011
7/19/2020,11:08,7/19/2020 11:08,16,2,elevated,16,27.33,5/12/2021,2267.579931,2290.876394,,,,,,,,
7/19/2020,11:09,7/19/2020 11:09,16,3,elevated,16,27.34,,,,,,,,,,,
